221 947 2415 2407;1465 6982 41 440 8489 9 15713 25533 4 23579 -1 0 81929 -1 0 1353 -1 0
726 2077 2457 2460 2707;23293 68614 9 59817 68618 10 128445 -1 0 79 -1 0
230 1053 2456 2630;2422 7445 6 10 7446 8 23023 -1 0 152342 -1 0
783 2194 2522 2624;96277 119632 43 205426 166934 10 30680 -1 0 1978 -1 0
676 1985 2743 2407 2829;23562 52183 9 9993 55121 5 5669 -1 0 18296 -1 0
571 1808 2579 2743;12357 34000 6 8041 34011 7 20716 34015 4 5343 -1 0 693 -1 0 41884 -1 0
70 1044 2405 2499;270 1968 12 660 1989 5 16606 -1 0 15562 -1 0
386 957 2585;3646 17791 10 9078 17807 4 5342 -1 0 1751 -1 0
694 1391 2397 2683;5342 58204 5 27231 79196 4 5390 -1 0 59638 -1 0
196 1184 2488 2604;10 6056 5 12946 21200 7 10787 -1 0 24915 -1 0
142 1010 2454 2436 2435;219 4004 18 137 4005 12 5024 -1 0 1250 -1 0
157 1149 2477 2577;15 4663 4 2091 4683 4 8244 -1 0 57820 -1 0
280 1085 2505 2540 2552 2400 2506;26 9576 4 13120 20228 10 2322 -1 0 137 -1 0
514 1719 2405 2714 2430;15713 27703 7 4123 27704 5 14539 -1 0 33242 -1 0
43 993 2454 2469;386 1427 4 382 1473 4 2259 4905 5 7371 -1 0 26392 -1 0 22950 -1 0
44 918 2470 2471;316 1383 6 10 1388 6 3009 -1 0 1926 -1 0
103 1089 2530 2531 2532;3 2788 8 137 3280 8 152342 -1 0 7012 -1 0
7 903 2402 2411;10 98 29 91 122 8 725 2157 4 1756 12257 9 206006 -1 0 83603 -1 0 62445 -1 0 34732 -1 0
26 913 2424 2412 2443;45 432 12 330 2410 15 1516 -1 0 482 -1 0
192 1053 2395 2415 2599;2433 5958 6 2274 5963 4 25096 -1 0 22736 -1 0
71 967 2405 2395 2500;531 1973 17 199 1974 11 10 1987 6 602 1998 5 219 2010 5 34012 -1 0 103265 -1 0 101133 -1 0 11209 -1 0 39896 -1 0
131 1137 2556 2557;1465 3625 4 912 3861 6 4188 -1 0 51737 -1 0
502 1698 2501 2751;4123 26736 4 16575 26739 6 13651 -1 0 202974 -1 0
495 1466 2690 2748 2402 2436 2579;475 26002 9 1951 26003 17 64756 -1 0 21 -1 0
326 1407 2545 2396 2595 2678;7554 12843 4 793 12854 4 6484 -1 0 842 -1 0
691 1389 2402 2403 2836;17994 56839 28 64465 149718 5 14446 -1 0 50927 -1 0
32 970 2415 2455;65 1107 13 197 1118 11 7585 12827 4 8292 13838 4 38760 -1 0 15575 -1 0 9544 -1 0 2713 -1 0
9 909 2393;21 165 81 10 166 46 140 264 4 482 6010 31 1937 6576 8 3385 -1 0 7394 -1 0 37876 -1 0 1155 -1 0 142863 -1 0
403 1530 2421 2601 2398;37107 19123 5 65059 75061 4 20 -1 0 14958 -1 0
334 1414 2405 2406;156 13376 7 7992 13409 5 3303 21496 4 10887 -1 0 30866 -1 0 106309 -1 0
144 1148 2496 2565;1250 4114 6 15 4115 6 10040 -1 0 84686 -1 0
42 993 2457 2468;251 1362 4 137 1368 16 158 1407 5 11044 17614 4 12677 -1 0 2322 -1 0 3808 -1 0 1518 -1 0
117 1109 2424 2541 2542;1204 3421 7 1465 9934 8 63889 97214 24 75 -1 0 20400 -1 0 58715 -1 0
21 907 2405 2429;137 365 12 464 1576 4 3190 -1 0 25635 -1 0
4 885 2402 2403 2404;45 48 8 50 51 4 63833 -1 0 7169 -1 0
577 882 2481;981 34455 12 23562 34646 7 30171 -1 0 23247 -1 0
224 954 2429 2564;594 7100 29 3522 7106 4 96277 -1 0 23023 -1 0
733 928 2546 2442;475 72856 13 63596 72858 10 3781 -1 0 15415 -1 0
295 1053 2658 2659;170 10096 4 10 10101 8 1465 -1 0 3 -1 0
828 1882 2405 2393 2394 2873;140905 132763 5 92056 132849 13 9052 -1 0 114824 -1 0
24 950 2438 2439 2440;33 428 4 787 3845 5 2422 9242 12 82097 -1 0 19194 -1 0 594 -1 0
133 885 2538 2473 2559;1465 3741 17 12711 19664 7 119593 -1 0 2633 -1 0
614 1600 2776 2802;7815 39549 44 31901 43350 7 44446 -1 0 307 -1 0
603 918 2796;11209 37835 6 47030 58288 4 5342 -1 0 17476 -1 0
589 1263 2429 2412 2400;11209 35503 15 16575 35533 15 6204 -1 0 7973 -1 0
370 1266 2547 2695;10 16317 22 3 16347 4 267 16527 5 25084 -1 0 25160 -1 0 4332 -1 0
175 1189 2513;2103 5104 5 482 5107 8 13178 -1 0 5197 -1 0
278 1179 2502 2444;10 9472 14 3522 9473 6 4934 9481 22 14154 -1 0 4934 -1 0 267 -1 0
490 1684 2698 2586;475 25482 7 15713 25485 23 13651 -1 0 10439 -1 0
371 1476 2405 2412 2451 2547 2696;1417 16699 8 10439 16740 6 9160 16863 5 84986 -1 0 39717 -1 0 9677 -1 0
440 1378 2393 2542;1522 21318 7 7379 21355 4 7992 -1 0 103911 -1 0
815 2082 2747 2869;44325 125398 9 145076 133619 4 205426 -1 0 18675 -1 0
357 1453 2405 2513 2505;8197 14960 8 404 14982 4 30767 -1 0 21343 -1 0
154 1012 2465 2576;1274 4547 17 482 4552 8 156 4556 19 15073 23017 4 3116 -1 0 1460 -1 0 15241 -1 0 7169 -1 0
374 1483 2690 2601;10 17130 20 10923 17372 4 16575 37651 4 17235 -1 0 98 -1 0 8661 -1 0
146 1057 2429 2564;137 4188 36 1816 4225 9 10787 -1 0 4892 -1 0
795 2219 2637;96277 110940 22 110415 110942 5 53438 -1 0 181887 -1 0
517 993 2412;440 27777 11 4003 27795 6 3303 27833 4 81105 -1 0 503 -1 0 792 -1 0
12 919 2418;63 196 4 135 226 4 7425 -1 0 131553 -1 0
319 1012 2429 2447;3646 12539 22 52235 62302 5 4901 -1 0 188851 -1 0
328 1237 2470 2540 2463 2679;475 12964 6 3646 12978 12 8561 -1 0 16389 -1 0
443 1030 2523 2723 2724;8197 21461 5 13956 21477 17 121414 -1 0 61395 -1 0
610 1867 2416 2800;27214 38799 4 16575 38815 4 12915 -1 0 23379 -1 0
400 1527 2673 2690 2455;1951 18896 6 3646 18897 7 9078 18907 14 12946 -1 0 5077 -1 0 23417 -1 0
831 2292 2704;44325 152172 6 208008 168294 5 11229 -1 0 2413 -1 0
498 1691 2579 2743;3009 26235 5 16575 26506 11 86024 -1 0 30734 -1 0
857 2346 2566 2886 2887;209414 174607 6 209414 174728 14 85511 -1 0 33346 -1 0
710 1722 2642;7425 62989 16 27162 84656 6 155 -1 0 6181 -1 0
290 1347 2483 2464;5457 9966 8 11190 34364 4 7851 -1 0 137930 -1 0
198 1037 2465 2418;482 6089 6 1951 6090 4 334 6181 4 119408 -1 0 17286 -1 0 75037 -1 0
