448 1361 277 563 29 26 448 160 736 117 563 29 26 11 56 448 1361 192 11 56,193 1933 128 587 320 117 26 106 44 448 1 1361 277 819 1127 1 737 243 292 12 692 259 164 1414 448 3362 448 2096 448 406 563 29 26 44 3 1 117 888 1 108 292 10095 317 1428 1377 1414 448 524 22 312 149 977 335 26 4 692 24 4 10918 692 553 17789 165 19 913 30,505 324 27 1198 10 87 1346 1008 235 2402 31 842 352 1167 1785 42 109 418 158 7 207 7841 3501 1167 217 623 4 2338 2932 1346 2402 46 1145 5 107 528 2402 1 3205 56 3 367 3 208 60 2589 11 56 1663 671 42 1499 1346 4529 648 62 1039 1 157 56 1262 3 11818 1429 6474 84 615 1523 17793 17794 17795 17796 17797 1198 126 1722 63 11 56 17798 2403 6218 88 290 1294 2402 147 6778 13282 17799 17800 8316 3288 13283 17801 222 3288 4 359 49,1,12
448 1361 277 563 29 26 448 160 736 117 563 29 26 11 56 448 1361 192 11 56,759 12 122 1541 183 6472 117 1320 823 292 14 215 309 1856 692 5 14 384 40 7840 4197 15 119 299 449 28530,332 1858 2545 582 5368 150 684 423 693 1 877 1785 196 774 4422 2404 1094 2546 1199 1181 4641 373 1286 798 113 1 1934 1094 159 761 624 761 1286 4641 452 624 21751 373 1524 159 761 373 8794 14936 624 761 1181 1 150 200 1138 1094 113 8794 762 153 50 112 167 13284 14937 14936 624 761 268 1321 1138 5 10921 1785 447 108 218 21752 255 1831 4423 3080 2635 1094 1286 19 187 213 306 3502 931 539 336 1557 802 597 13285 1589 80 126 2636 540 8794 6219,1,12
448 1361 277 563 29 26 448 160 736 117 563 29 26 11 56 448 1361 192 11 56,563 29 26 12 385 3566 1225 3566 572 3566 10919 2505 4640 2044 3728 2974 16 418 12 26 1 151 210 83 1415 1354 773 1414 471 3728 6473 9388 21745 11816 563 29 26 798 563 29 26 21746 6216 14932 14933 2045 6216 5764 21747 2045 21748 2794 385 1309 143 2634 26 3079 2125 197 1449 171 15 2338 262 1285 1439 671 448 11817 3079 8792 5366 12 5550 4793 4794 258 2241 320 117 292 5 320 2212 48 5971 273 246 96 143 61 1093 1805 21749 3807 86 190 689 21750,5069 99 1074 1158 17802 64 13286 8 1158 17803 13287 2020 2175 2021 2590 872 20 2795 13288 657 3650 1040 892 99 5069 58 102 357 11819,1,12
448 1361 277 563 29 26 448 160 736 117 563 29 26 11 56 448 1361 192 11 56,3808 95 2739 2174 219 589 180 563 29 283 4795 5367 1440 1106 147 509 448 12 692 1784,616 18 463 67 107 3 11 925 41 482 91 126 205 3729 127 2405 3205 56 299 1680 3567 38 149 554 14938 4927 10 10 1786 218 5 4 96 46 2682 335 240 3730 205 1310 74 14939 7842 182 3206 76 786 46 6779 1190 11820 21753 1935 564 237 1263 3081 3206 1210 76 464 1159 1322 41 545 525 1402 1787 2 36 672 5 914 94 3420 1723 4642 357 1481 864 1933 1859 1107 931 94 1832 573 255 1295 331 4643 3568 1211 548 4644 5972 7444 639 10922 653,1,12
448 1361 277 563 29 26 448 160 736 117 563 29 26 11 56 448 1361 192 11 56,143 17790 831 10920 157 1361 277 26 24 5 17791 1330 117 1522 318 10 519 1361 131 26 14934 61 245 528 245 6217 760 656 164 435 331 8793 4421 1711 1 196 12 498 4 384 8793 6777 80 519 1857 150 1857 14935 17792 1 940 611 648,259 136 250 77 14940 26 250 608 267 3207 103 925 388 168 649 388 168 1362 1954 1500 388 2314 15,1,12
500 248 433 4530 726 3289 22 96 428 802 2406 654 597 500 248 3289 22 96 2046 820,3809 4530 395 134 119 4530 30 11821 1664 7445 64 28531 1085 2506 2366 21754 28532 235 5369 1806 2148 590 248 2149 130 9389 10923 7843 119 17804 14941 9390 17804 668 64 354 426 28533 11822 250 4530 738 28534 1253 17804 893 126 50 249 2796 145 220 2315 17805 22 1665 5070 96 9391 1064 161 427 3289 22 1160 205 3503 3014 11821 3363 7445 192 2149 3503 1286 22 2975 1463 144 3503 6475 1200 4530 827 978 640 5551 3503 1525 50 395 1095 9392 1146 5552 428 28 250 4530 978,10924 391 139 3504 3422 500 3422 659 236 5211 655 1911 7844 4 3 155 1482 16 655 406 629 174 1023 655 413 3422 659 110 6476 532 373 3 2067 229 480 145 655 2895 229 526 69 5553 64 229 655 1911 7844 4 216 1122 532 373 3986 5 1911 64 3290 79 1128 500 103 908 1649 50 304 39 229 1182 655 5973 85 5071 52 1574 598 159 457 7845 8317 835 7058 1980 915 4531 1980 1112 655 559 4302 308 115 2507 3651 6477 3893 73 10 392 7845 4,1,12
500 248 433 4530 726 3289 22 96 428 802 2406 654 597 500 248 3289 22 96 2046 820,14942 814 250 11821 433 395 7445 119 4530 1112 5765 250 4530 126 194 249 2796 21755 2213 532 806 650 1121 501 1936 806 21756 1264 21757 706 4796 250 4530 2367 50 6220 14943 2796 2150 685 2637 532 50 21758 21759 2740 1065 1936 806 243 4300 658 11821 1936 806 88 4301 11823 85 3421 281 3 62 2591 21760 14942 387 64 354 2505 4198 3892 4080 248 9389 10923 778 231 64 3208 64 14944 36 1075 64 14944 2683 10923 1022 821 4530 147 30 13289 873 30 220 17806 169 64,1066 67 90 6 78 66 696 629 4081 2 690 291 329 237 4303 48 697 2 1882 274 107 989 525 574 264 3082 14945 1168 424 7 347 1464 28 206 11824 1032 1033 629 690 999 206 293 3209 329 2402 747 21761 1370 237 10925 5370 424 178 285 2 2592 424 23 206 13 1 510 11 274 293 21762 21763 6 696 1096 2291 31 1008 214 2638 1172 2368 9 787 629 1465 999 1 1041 2407 1323 1033 1 615 6221 4645 842 815 150 7 289 329 3987 1294 2005,1,12
28535 4646 2316 1757 1129 1758 4532 281 135 3505 941 1758 4532 281 8795 42 28536 1681 2639 985,630 1466 11825 631 9393 11826 1758 4532 265 59 3015 332,10927 44 108 416 246 599 2642 87 1682 7447 61 6780 1068 416 7846 14947 2068 2126 8796 2684 194 1575 5974 2473 7846 5974 733 7846 2317 2473 1683 3365 1248 4930 4 1 960 7447 5 24 87 604 416 389 85 7447 214 646 3652 587 4533 2068 2126 46 13291 632 10928 1198 5 913 30 2 56 14948 14949 14950 7061 44 350 505 1034 2473 1378 416 1161 7448 1068 416 14951 495 262 807 2684 14952 1834 6223 14953 1637 1378 630 83 415 128 1590 105 591 14954 44 62 1788,1,12
28535 4646 2316 1757 1129 1758 4532 281 135 3505 941 1758 4532 281 8795 42 28536 1681 2639 985,221 18 2292 1758 4532 449 2976 59 67 495 6 10096 3364 727 429 11827 36 10926 788 3894 2439 6222 561 273 1466 11825 5766 5 1053 72 40 7059 14946 7060 21764 449 9394 17807 7059 21765 1067 21766 1074 18 429 11827 484 1274 411 1501 2639 522 2976 9393 3210 223 206 1129 4797 4647 2896 21767 2408 21768 140 2640 4798 1833 13290 7446 4928 2641 105 4929 3506 1758 4532 5 1807 48 3016 1955 926 506 223 185 378 4304 5767 1624 2440 48 7059 14946 2440 836 1247 17808 11827 3569,199 253 14 5554 139 2 837 6224 170 1296 4648 157 2047 5768 14955 10929 14956 223 11828 360 1108 14957 592 198 253 6 1311 3810 192 5555 14958 575 7062 3141 275 14959 9 275 4424 1108 2 837 1712 13292 4199 1430 1835 733 1054,1,12
2933 420 8797 142 941 4534 17 2 755 20 1086 1265 2933 1836 8797 142 59 347 89 549,1 108 1483 213 37 2933 3017 20 66 4 1542 8797 142 7449 8 85 19 1201 65 909 89 161 5556 4799 8318 2741 494 7063 2176 21769 149 2 134 230 1 251 21770 21771 1085 1 248 60 2 3988 1 1858 1 2933 10097 21772 142 1085 10098 5212 17809 3507 2742 425 60 46 2 137 298 1173 5975 156 40 196 2097 2840 297 349 2685 1664 2272 181 17810 3895 2593 4082 427 119 17 748 21773 112 1613 6225 316 3653 407 21774 13293 335 394 38 355 100 59 11,54 27 11 2644 7851 2687 1080 309 237 1450 617 3084 1592 2071 5073 799 5373 21775 1055 2474 1593 11831 2177 1174 889 1005 42 1055 487 2214 1331 632 605 2897 1183 7452 1592 8320 7852 1625 256 9 698 755 6226 21776 84 45 707 2 2070 8321 3570 1212 1331 605 1810 1024 3654 1664 11832 985 2441 270 591 10 651 1191 769 1311 1592 60 171 19 30 237 1626 67 11 7 98 9 623 116 92 693 224 435 276 43 135 594 321 878 662 2799 159 577 17818 1174,1,12
